Date,Time,Open,High,Low,Close,Volume
2004.06.01,00:00,384.00,404.60,381.10,393.30,24903
2004.07.01,00:00,391.60,408.60,384.50,390.50,34840
2004.08.01,00:00,390.30,413.80,388.10,409.30,40483
2004.09.01,00:00,409.60,418.60,394.30,417.80,47047
2004.10.01,00:00,417.80,430.20,409.10,428.10,25857
2004.11.01,00:00,429.60,454.80,416.80,450.30,26742
2004.12.01,00:00,450.70,456.30,431.50,437.00,25902
2005.01.01,00:00,437.10,437.30,416.50,422.10,32619
2005.02.01,00:00,422.10,437.70,409.80,435.00,36360
2005.03.01,00:00,435.00,446.60,423.10,427.80,26681
2005.04.01,00:00,427.70,437.20,421.70,434.00,32970
2005.05.01,00:00,433.80,434.10,413.30,416.80,34514
2005.06.01,00:00,416.60,443.20,414.20,434.50,17282
2005.07.01,00:00,434.20,436.20,417.80,429.30,14226
2005.08.01,00:00,429.20,449.10,428.60,434.60,19704
2005.09.01,00:00,434.80,475.00,434.30,468.80,24669
2005.10.01,00:00,467.30,480.00,459.50,465.20,24110
2005.11.01,00:00,465.60,502.20,454.80,498.50,21141
2005.12.01,00:00,491.50,540.50,489.30,514.60,27651
2006.01.01,00:00,516.80,572.20,516.30,568.70,34300
2006.02.01,00:00,569.20,574.70,534.60,562.00,24038
2006.03.01,00:00,562.10,589.10,533.70,583.50,19029
2006.04.01,00:00,572.20,655.50,572.20,653.70,20719
2006.05.01,00:00,654.10,729.70,635.60,642.70,45716
2006.06.01,00:00,643.10,645.20,542.50,615.20,46392
2006.07.01,00:00,617.00,676.00,602.10,635.70,21447
2006.08.01,00:00,635.20,655.50,607.00,624.60,21618
2006.09.01,00:00,626.00,640.20,570.20,597.70,49090
2006.10.01,00:00,598.20,610.60,559.20,606.10,65291
2006.11.01,00:00,606.00,648.20,605.10,647.20,63698
2006.12.01,00:00,646.10,649.60,611.10,636.20,45617
2007.01.01,00:00,638.20,654.20,601.50,652.70,58508
2007.02.01,00:00,652.50,688.10,642.70,669.10,62597
2007.03.01,00:00,673.20,677.00,632.50,663.20,88918
2007.04.01,00:00,664.50,693.30,655.90,677.70,80641
2007.05.01,00:00,677.90,690.40,651.50,660.50,71873
2007.06.01,00:00,661.20,673.60,639.80,649.10,65472
2007.07.01,00:00,650.10,687.50,645.00,663.50,78615
2007.08.01,00:00,663.40,676.40,641.60,672.80,103222
2007.09.01,00:00,672.50,745.40,671.00,742.90,110761
2007.10.01,00:00,743.70,797.00,720.30,796.10,164762
2007.11.01,00:00,797.90,845.40,772.50,782.70,239943
2007.12.01,00:00,784.60,841.80,776.80,831.80,141980
2008.01.01,00:00,841.00,936.70,839.50,924.50,260348
2008.02.01,00:00,923.90,975.80,883.90,973.50,202905
2008.03.01,00:00,976.10,1032.20,904.40,915.80,185622
2008.04.01,00:00,915.40,952.40,862.20,876.70,154085
2008.05.01,00:00,875.30,934.90,844.90,886.30,140259
2008.06.01,00:00,886.80,934.90,857.10,924.60,139272
2008.07.01,00:00,925.40,988.00,893.60,913.30,179987
2008.08.01,00:00,913.70,916.70,772.60,830.70,186901
2008.09.01,00:00,833.80,923.90,735.90,870.90,229748
2008.10.01,00:00,872.40,931.10,681.40,723.70,270498
2008.11.01,00:00,728.20,830.50,699.70,816.00,233346
2008.12.01,00:00,815.10,887.80,741.10,866.80,263175
2009.01.01,00:00,874.20,929.20,801.90,926.50,324199
2009.02.01,00:00,923.70,1005.90,888.90,941.60,197925
2009.03.01,00:00,947.50,966.70,883.00,917.40,539006
